TITLE = " Ionization Mass Fractions"
Variables = " Ar+", "N+", "O+", "e-", "T"
Zone T= "Temperature", I=1000, F=POINT
6.74643e-43 0 4.68682e-225 0 598.148
2.467e-41 0 1.06806e-200 0 656.751
4.69547e-40 0 1.76437e-177 0 714.353
5.54696e-39 0 6.05394e-156 0 770.998
3.35147e-37 0 1.45001e-130 0 826.746
1.11988e-34 0 1.12644e-108 0 881.664
4.01504e-33 0 1.73506e-89 0 935.82
3.23926e-31 0 2.29962e-75 0 989.277
8.2264e-30 0 6.73999e-63 0 1042.09
1.83411e-28 0 8.17735e-53 0 1094.31
3.66344e-27 0 1.07696e-44 0 1145.98
2.45093e-26 0 1.87654e-36 0 1197.13
4.11172e-25 0 3.36835e-31 0 1247.8
2.3522e-24 0 5.42592e-25 0 1298
1.81798e-26 0 2.81913e-22 0 1347.76
4.0553e-30 2.18075e-305 9.34849e-22 0 1397.09
8.5108e-33 7.33572e-286 8.188e-21 0 1446.01
2.0489e-35 6.64201e-268 2.91483e-20 0 1494.53
2.47646e-37 8.10156e-251 1.64409e-19 0 1542.64
6.59864e-39 1.06345e-234 9.42e-19 0 1590.35
1.48418e-40 5.80325e-220 1.74454e-18 0 1637.67
2.64683e-44 1.50935e-214 6.05016e-18 0 1684.57
1.83955e-45 3.33284e-201 9.11554e-18 0 1731.06
1.35732e-45 6.87898e-188 4.374e-17 0 1777.12
9.44789e-49 1.0706e-183 3.82966e-17 0 1822.72
3.78667e-48 3.81039e-171 8.85206e-17 0 1867.83
2.70049e-50 5.39051e-167 7.85821e-17 0 1912.41
8.44316e-49 5.92899e-155 1.96436e-16 0 1956.43
3.25744e-50 7.09831e-151 2.1164e-16 0 1999.83
6.08721e-48 3.25781e-139 7.20775e-16 0 2042.56
1.0257e-48 2.92377e-135 9.0658e-16 2.74355e-320 2084.56
5.73035e-46 3.12089e-124 2.95895e-15 1.00316e-292 2125.77
1.67754e-46 9.7174e-121 3.54007e-15 1.09766e-279 2166.14
6.58865e-47 2.33209e-117 4.20496e-15 1.85699e-267 2205.6
7.16174e-44 2.17589e-107 1.3514e-14 5.37136e-245 2244.11
3.52241e-44 1.72655e-104 1.58886e-14 2.14641e-234 2281.64
1.8744e-44 9.45232e-102 1.85638e-14 2.66713e-224 2318.13
2.89182e-41 9.75693e-93 5.85692e-14 1.43313e-205 2353.58
1.83563e-41 2.17491e-90 6.75226e-14 4.10972e-197 2387.97
1.38505e-41 4.04755e-88 7.73253e-14 3.4529e-189 2421.3
1.09099e-41 5.66132e-86 8.7976e-14 1.03187e-181 2453.58
2.61897e-38 6.86355e-78 2.7038e-13 2.67414e-167 2484.83
2.25351e-38 4.75716e-76 3.03869e-13 4.92265e-161 2515.07
1.99478e-38 2.64256e-74 3.39571e-13 4.126e-155 2544.32
1.81045e-38 1.19529e-72 3.77439e-13 1.66503e-149 2572.63
1.67987e-38 4.46916e-71 4.17424e-13 3.41062e-144 2600.03
1.58945e-38 1.13736e-69 4.5947e-13 3.72615e-139 2626.56
5.04752e-35 1.02457e-62 1.36874e-12 3.9944e-129 2652.25
5.44469e-35 1.494e-61 1.49384e-12 6.68677e-125 2677.17
5.92639e-35 1.78413e-60 1.62415e-12 7.04178e-121 2701.33
6.50214e-35 1.90391e-59 1.75957e-12 4.82667e-117 2724.78
7.18233e-35 1.51233e-58 1.89992e-12 2.22273e-113 2747.57
7.98205e-35 1.10793e-57 2.04516e-12 7.07774e-110 2769.72
8.9186e-35 7.53061e-57 2.19521e-12 1.60037e-106 2791.28
3.3593e-31 8.05798e-51 6.38782e-12 8.23213e-100 2812.28
3.80447e-31 3.67069e-50 6.82089e-12 6.20657e-97 2832.74
4.32229e-31 1.59128e-49 7.26641e-12 3.62275e-94 2852.71
4.92441e-31 6.58758e-49 7.72425e-12 1.66605e-91 2872.21
5.62447e-31 2.61269e-48 8.19434e-12 6.13538e-89 2891.26
6.43852e-31 9.95642e-48 8.6766e-12 1.83615e-86 2909.9
7.38522e-31 3.60225e-47 9.17098e-12 4.52736e-84 2928.15
8.56411e-31 1.14842e-46 9.6772e-12 9.22833e-82 2946.03
1.03997e-30 3.72084e-46 1.01955e-11 1.5186e-79 2963.56
1.26297e-30 1.17238e-45 1.07259e-11 2.1347e-77 2980.76
1.53389e-30 3.5988e-45 1.12684e-11 2.58849e-75 2997.65
1.86301e-30 1.07805e-44 1.18232e-11 2.73205e-73 3014.26
2.26287e-30 3.15631e-44 1.23903e-11 2.53101e-71 3030.59
